Timestamp,Acc_X,Acc_Y,Acc_Z,Activity
1581738538698,-0.014434814,0.8176727,9.721909,SITTING
1581738538718,-0.48010254,1.0379486,9.549515,SITTING
1581738538739,-0.4214325,1.0606842,9.378326,SITTING
1581738538762,-0.21315002,0.8655548,9.690781,SITTING
1581738538782,0.066986084,0.8009186,9.853592,SITTING
1581738538802,-0.17243958,0.9038696,9.514801,SITTING
1581738538863,-0.3256836,1.0343475,9.357986,SITTING
1581738538863,-0.18800354,0.9266052,9.627335,SITTING
1581738538863,-0.05871582,0.7243042,10.048706,SITTING
1581738538877,0.009521484,0.6979675,10.018784,SITTING
1581738538897,-0.057525635,0.81048584,9.835632,SITTING
1581738538918,0.04663086,0.83921814,9.854782,SITTING
1581738538938,0.2010498,0.9313965,9.702744,SITTING
1581738538959,-0.064712524,1.0295563,9.969711,SITTING
1581738538979,-0.079071045,1.004425,10.248627,SITTING
1581738538999,0.2429657,0.9493561,9.88591,SITTING
1581738539062,0.4249115,0.9732971,9.374741,SITTING
1581738539062,0.47039795,1.0223846,9.33046,SITTING
1581738539062,0.35308838,1.0702667,9.535156,SITTING
1581738539081,0.11845398,1.0307617,9.864365,SITTING
1581738539096,0.12922668,0.99723816,9.863159,SITTING
1581738539116,0.081344604,1.0523071,9.506424,SITTING
1581738539135,0.0023345947,1.1432953,9.180817,SITTING
1581738539159,0.12683105,1.1181488,9.144897,SITTING
1581738539180,0.36506653,0.9337921,9.387909,SITTING
1581738539199,0.4309082,0.76260376,10.06308,SITTING
1581738539255,0.3734436,0.6967621,10.211517,SITTING
1581738539255,0.33033752,0.7865448,9.761398,SITTING
1581738539255,0.16873169,0.9637146,9.3819275,SITTING
1581738539274,0.03225708,1.1145477,9.284958,SITTING
1581738539294,0.08972168,1.0559082,9.518402,SITTING
1581738539314,0.23577881,0.79971313,10.103775,SITTING
1581738539335,0.119659424,0.8260498,10.338409,SITTING
1581738539359,0.03704834,1.075058,9.719513,SITTING
1581738539376,0.0071258545,1.2653961,9.161667,SITTING
1581738539394,0.17352295,1.1504669,9.517197,SITTING
